fund,date,gross_return,net_return
Combined Equal Weight,2023-09-08,0.001355175013367869,0.0013551750133677931
Combined Equal Weight,2023-09-11,-0.0031409107050021806,-0.00314091070500222
Combined Equal Weight,2023-09-12,0.005296249437674423,0.005296249437674483
Combined Equal Weight,2023-09-13,0.0010123337048559907,0.0010123337048559833
Combined Equal Weight,2023-09-14,0.01281333344121205,0.012813333441211938
Combined Equal Weight,2023-09-15,-0.005808530218916478,-0.0058085302189164745
Combined Equal Weight,2023-09-18,0.0030732217754222795,0.0030732217754223523
Combined Equal Weight,2023-09-19,-0.0015119805208430718,-0.0015119805208431147
Combined Equal Weight,2023-09-20,-0.006164775560719364,-0.006164775560719371
Combined Equal Weight,2023-09-21,-0.018790123872734137,-0.018790123872734155
Combined Equal Weight,2023-09-22,-0.0025746824554939395,-0.0025746824554939707
Combined Equal Weight,2023-09-25,0.003190848654452438,0.003190848654452516
Combined Equal Weight,2023-09-26,-0.010548755017963487,-0.010548755017963485
Combined Equal Weight,2023-09-27,0.0003782404796926361,0.0003782404796925931
Combined Equal Weight,2023-09-28,0.0075548927291206,0.007554892729120688
Combined Equal Weight,2023-09-29,1.8517727138480245e-05,1.8517727138567253e-05
Combined Equal Weight,2023-10-02,-0.015670879792627778,-0.015670879792627823
Combined Equal Weight,2023-10-03,-0.007155150739297569,-0.007155150739297622
Combined Equal Weight,2023-10-04,0.00016981327522040064,0.00016981327522036516
Combined Equal Weight,2023-10-05,-0.003383397491625158,-0.003383397491625195
Combined Equal Weight,2023-10-06,0.010446034496043382,0.01044603449604331
Combined Equal Weight,2023-10-09,0.0021486729784539536,0.0021486729784538916
Combined Equal Weight,2023-10-10,0.005664866368411877,0.005664866368411792
Combined Equal Weight,2023-10-11,0.001310471855917437,0.0013104718559173723
Combined Equal Weight,2023-10-12,-0.008315333978963658,-0.008315333978963668
Combined Equal Weight,2023-10-13,0.0021009296326924038,0.002100929632692372
Combined Equal Weight,2023-10-16,0.013352363471423597,0.013352363471423656
Combined Equal Weight,2023-10-17,-0.0008165491795922443,-0.0008165491795922852
Combined Equal Weight,2023-10-18,-0.013069182735187828,-0.013069182735187868
Combined Equal Weight,2023-10-19,-0.004911795990365635,-0.004911795990365619
Combined Equal Weight,2023-10-20,-0.0038914319414627674,-0.0038914319414627974
Combined Equal Weight,2023-10-23,0.004044908075954011,0.0040449080759539235
Combined Equal Weight,2023-10-24,0.00904516866436769,0.009045168664367775
Combined Equal Weight,2023-10-25,-0.009453075722180182,-0.009453075722180238
Combined Equal Weight,2023-10-26,-0.0018253131376461283,-0.0018253131376461118
Combined Equal Weight,2023-10-27,-0.010215886757690746,-0.010215886757690695
Combined Equal Weight,2023-10-30,0.01035294554855504,0.010352945548555148
Combined Equal Weight,2023-10-31,0.006494664734265533,0.006494664734265632
Combined Equal Weight,2023-11-01,0.0074731466890766395,0.007473146689076726
Combined Equal Weight,2023-11-02,0.01971693089542779,0.019716930895427698
Combined Equal Weight,2023-11-03,0.011609533501200538,0.01160953350120053
Combined Equal Weight,2023-11-06,0.0012650560466206796,0.0012650560466207494
Combined Equal Weight,2023-11-07,-0.005656820637751129,-0.005656820637751081
Combined Equal Weight,2023-11-08,0.0005373236373398133,0.000537323637339826
Combined Equal Weight,2023-11-09,-0.004262813716021548,-0.004262813716021552
Combined Equal Weight,2023-11-10,0.011558798455876488,0.011558798455876484
Combined Equal Weight,2023-11-13,-0.0034629506400296493,-0.0034629506400296606
Combined Equal Weight,2023-11-14,0.015143199718425288,0.01514319971842526
Combined Equal Weight,2023-11-15,0.011433957330833112,0.011433957330833078
Combined Equal Weight,2023-11-16,-0.0049298375794798255,-0.0049298375794798455
Combined Equal Weight,2023-11-17,0.0024150821575656557,0.0024150821575656956
Combined Equal Weight,2023-11-20,0.0016107362148039147,0.0016107362148038984
Combined Equal Weight,2023-11-21,-0.010749734228255233,-0.010749734228255203
Combined Equal Weight,2023-11-22,0.009313950446122763,0.00931395044612282
Combined Equal Weight,2023-11-24,0.003816234040107991,0.003816234040108002
Combined Equal Weight,2023-11-27,-0.003595268554405201,-0.0035952685544051732
Combined Equal Weight,2023-11-28,0.0035147730414762245,0.0035147730414761824
Combined Equal Weight,2023-11-29,0.0036377976713231905,0.0036377976713231064
Combined Equal Weight,2023-11-30,0.004697903801838477,0.004697903801838432
Combined Equal Weight,2023-12-01,0.010431243938583393,0.010431243938583412
Combined Equal Weight,2023-12-04,0.0025456703170938823,0.002545670317093851
Combined Equal Weight,2023-12-05,-0.0013196565186203,-0.0013196565186203157
Combined Equal Weight,2023-12-06,-0.0003760526717829987,-0.0003760526717829782
Combined Equal Weight,2023-12-07,0.008122624623117195,0.008122624623117192
Combined Equal Weight,2023-12-08,0.010514856207447796,0.010514856207447743
Combined Equal Weight,2023-12-11,-0.0053279500923371255,-0.005327950092337108
Combined Equal Weight,2023-12-12,0.001723179573799259,0.001723179573799305
Combined Equal Weight,2023-12-13,0.02244675437246317,0.02244675437246313
Combined Equal Weight,2023-12-14,0.01305790702241953,0.01305790702241949
Combined Equal Weight,2023-12-15,-0.009188801625396455,-0.009188801625396481
Combined Equal Weight,2023-12-18,-0.0007028288814304657,-0.0007028288814304728
Combined Equal Weight,2023-12-19,0.00448205315423663,0.004482053154236665
Combined Equal Weight,2023-12-20,-0.009095040046854578,-0.009095040046854574
Combined Equal Weight,2023-12-21,0.011473601741572399,0.011473601741572415
Combined Equal Weight,2023-12-22,0.004576504945732433,0.004576504945732474
Combined Equal Weight,2023-12-26,0.0016754512805441288,0.001675451280544138
Combined Equal Weight,2023-12-27,0.009970524194693391,0.009970524194693464
Combined Equal Weight,2023-12-28,-0.000381196456502031,-0.00038119645650203093
Combined Equal Weight,2023-12-29,-0.005624265916081817,-0.005624265916081783
Combined Minimum Variance,2023-01-03,0.00739320579493092,0.007393205794930857
Combined Minimum Variance,2023-01-04,0.011597532084497332,0.01159753208449743
Combined Minimum Variance,2023-01-05,-0.002981338238562116,-0.00298133823856217
Combined Minimum Variance,2023-01-06,0.01792056806180769,0.01792056806180775
Combined Minimum Variance,2023-01-09,-0.01545176329442183,-0.015451763294421883
Combined Minimum Variance,2023-01-10,0.003628193825078564,0.0036281938250786183
Combined Minimum Variance,2023-01-11,0.0031967145885667897,0.0031967145885667403
Combined Minimum Variance,2023-01-12,-0.0046044756889224,-0.004604475688922416
Combined Minimum Variance,2023-01-13,0.0037111153313685954,0.0037111153313686973
Combined Minimum Variance,2023-01-17,-0.011060065053570012,-0.011060065053570045
Combined Minimum Variance,2023-01-18,-0.019647229808326512,-0.01964722980832656
Combined Minimum Variance,2023-01-19,-0.0032767951320248757,-0.0032767951320248345
Combined Minimum Variance,2023-01-20,0.009587506692924325,0.009587506692924297
Combined Minimum Variance,2023-01-23,0.0069129172525100495,0.006912917252509976
Combined Minimum Variance,2023-01-24,-0.00437600992431675,-0.004376009924316748
Combined Minimum Variance,2023-01-25,0.0019140740727058552,0.0019140740727059402
Combined Minimum Variance,2023-01-26,-0.0021804814242085517,-0.002180481424208569
Combined Minimum Variance,2023-01-27,-0.000754765491095051,-0.0007547654910950996
Combined Minimum Variance,2023-01-30,-0.00468779548135965,-0.004687795481359669
Combined Minimum Variance,2023-01-31,0.010484194017277775,0.010484194017277737
Combined Minimum Variance,2023-02-01,-0.007989663738921394,-0.007998766688277037
Combined Minimum Variance,2023-02-02,-0.010939625489449253,-0.010939625489449267
Combined Minimum Variance,2023-02-03,-0.009249992264406514,-0.009249992264406481
Combined Minimum Variance,2023-02-06,-0.004872140775076803,-0.004872140775076805
Combined Minimum Variance,2023-02-07,0.007511953758191764,0.007511953758191803
Combined Minimum Variance,2023-02-08,-0.005454405898362027,-0.005454405898361991
Combined Minimum Variance,2023-02-09,0.0008444969027789767,0.0008444969027789906
Combined Minimum Variance,2023-02-10,0.011197067054135201,0.011197067054135257
Combined Minimum Variance,2023-02-13,0.011230785053393906,0.011230785053393921
Combined Minimum Variance,2023-02-14,-0.009995231111475064,-0.009995231111475045
Combined Minimum Variance,2023-02-15,-0.00045997024879828376,-0.0004599702487982915
Combined Minimum Variance,2023-02-16,-0.012724407938802824,-0.012724407938802806
Combined Minimum Variance,2023-02-17,0.011058701569596143,0.011058701569596208
Combined Minimum Variance,2023-02-21,-0.0024208319580576636,-0.0024208319580576454
Combined Minimum Variance,2023-02-22,-0.009854761122896181,-0.009854761122896183
Combined Minimum Variance,2023-02-23,-0.002075483718248825,-0.0020754837182488384
Combined Minimum Variance,2023-02-24,-0.006250616117660619,-0.006250616117660646
Combined Minimum Variance,2023-02-27,0.001206812570450823,0.0012068125704507437
Combined Minimum Variance,2023-02-28,-0.003199368982173274,-0.003199368982173323
Combined Minimum Variance,2023-03-01,-0.0025488188016435805,-0.0025551651902605554
Combined Minimum Variance,2023-03-02,0.005869514486176288,0.0058695144861762305
Combined Minimum Variance,2023-03-03,0.007483347693797794,0.0074833476937978816
Combined Minimum Variance,2023-03-06,0.003663045761731102,0.003663045761731043
Combined Minimum Variance,2023-03-07,-0.011549768617940279,-0.011549768617940326
Combined Minimum Variance,2023-03-08,-0.007830530879825307,-0.007830530879825326
Combined Minimum Variance,2023-03-09,-0.01228431088570876,-0.012284310885708805
Combined Minimum Variance,2023-03-10,-0.0024249793621896358,-0.002424979362189661
Combined Minimum Variance,2023-03-13,0.009117632587186243,0.00911763258718623
Combined Minimum Variance,2023-03-14,0.008283217683202726,0.008283217683202615
Combined Minimum Variance,2023-03-15,0.005466824370792753,0.005466824370792711
Combined Minimum Variance,2023-03-16,0.004773725562740751,0.004773725562740694
Combined Minimum Variance,2023-03-17,-0.003465946814087007,-0.003465946814086962
Combined Minimum Variance,2023-03-20,0.010691689285673841,0.010691689285673878
Combined Minimum Variance,2023-03-21,-0.0023250842285319883,-0.0023250842285319484
Combined Minimum Variance,2023-03-22,-0.01369596912776262,-0.013695969127762608
Combined Minimum Variance,2023-03-23,0.00895149852139715,0.008951498521397205
Combined Minimum Variance,2023-03-24,0.012837298113252255,0.012837298113252293
Combined Minimum Variance,2023-03-27,0.00454150100575219,0.004541501005752124
Combined Minimum Variance,2023-03-28,-0.0007587428053527429,-0.0007587428053527079
Combined Minimum Variance,2023-03-29,0.004829291571543093,0.004829291571543104
Combined Minimum Variance,2023-03-30,0.004684989983710569,0.004684989983710475
Combined Minimum Variance,2023-03-31,0.011877943723828539,0.011877943723828555
Combined Minimum Variance,2023-04-03,0.008337023580442141,0.008329193437789817
Combined Minimum Variance,2023-04-04,0.0019247070182790828,0.0019247070182790704
Combined Minimum Variance,2023-04-05,0.012187483712828228,0.012187483712828184
Combined Minimum Variance,2023-04-06,0.0009520310254488134,0.0009520310254487185
Combined Minimum Variance,2023-04-10,-0.0012429473836578317,-0.001242947383657822
Combined Minimum Variance,2023-04-11,-0.0010990512896869732,-0.0010990512896870142
Combined Minimum Variance,2023-04-12,0.0003152466925217048,0.0003152466925218089
Combined Minimum Variance,2023-04-13,0.010183471322319977,0.010183471322319892
Combined Minimum Variance,2023-04-14,-0.007948537474731286,-0.007948537474731232
Combined Minimum Variance,2023-04-17,0.0020612420954094148,0.0020612420954093658
Combined Minimum Variance,2023-04-18,-7.477233670295514e-05,-7.477233670294403e-05
Combined Minimum Variance,2023-04-19,-0.0010873092298230315,-0.0010873092298230302
