fund,family,model,lambda,basis,ann_return,ann_vol,sharpe,max_drawdown,mean_turnover,total_cost
Equity Minimum Variance + finVADER,equity,finVADER,0.5,gross,0.05052950459723271,0.10956723650990553,0.46117348768456473,-0.08758339153037253,0.00663874220266731,0.0008298427753334137
Equity Minimum Variance + finVADER,equity,finVADER,0.5,net,0.04965108833733467,0.10956735195645871,0.4531558666952694,-0.08802059573400223,0.00663874220266731,0.0008298427753334137
Equity Minimum Variance + finVADER,equity,finVADER,0.75,gross,0.04774426742612148,0.11049631600404364,0.4320892239011323,-0.0883111123448802,0.00947837591684017,0.0011847969896050213
Equity Minimum Variance + finVADER,equity,finVADER,0.75,net,0.04649364812064882,0.11049302883997689,0.4207835427154768,-0.08892366324510426,0.00947837591684017,0.0011847969896050213
Equity Minimum Variance + finVADER,equity,finVADER,1.0,gross,0.048249405108432786,0.11210172686524957,0.4304073314270204,-0.089064182560054,0.012234086154362377,0.0015292607692952971
Equity Minimum Variance + finVADER,equity,finVADER,1.0,net,0.046634660267762085,0.11209335849480043,0.4160341066944237,-0.08984562224954051,0.012234086154362377,0.0015292607692952971
Combined Minimum Variance + VADER,combined,VADER,0.0,gross,0.05383503481510599,0.10970516741831074,0.49072469494377213,-0.08611000595503482,0.0005227212515773681,6.534015644717102e-05
Combined Minimum Variance + VADER,combined,VADER,0.0,net,0.0537656282688892,0.10970500119997617,0.49009277317159244,-0.0861242067198279,0.0005227212515773681,6.534015644717102e-05
Combined Minimum Variance + VADER,combined,VADER,0.25,gross,0.06542413441231165,0.10927414770001993,0.5987155771913627,-0.08437063887245133,0.004685975892288597,0.0005857469865360747
Combined Minimum Variance + VADER,combined,VADER,0.25,net,0.06479524079767307,0.10927257592592401,0.5929689151063651,-0.0844301677470497,0.004685975892288597,0.0005857469865360747
Combined Minimum Variance + VADER,combined,VADER,0.5,gross,0.0745139872006495,0.11057477584118044,0.6738787090798594,-0.08227934982468366,0.00951721352734023,0.0011896516909175288
Combined Minimum Variance + VADER,combined,VADER,0.5,net,0.07322616238392254,0.1105721761833639,0.6622476368963764,-0.0824086249740974,0.00951721352734023,0.0011896516909175288
Combined Minimum Variance + VADER,combined,VADER,0.75,gross,0.08357012126721508,0.11327762654894628,0.7377460475931242,-0.07844591030167136,0.013991424482199248,0.001748928060274906
Combined Minimum Variance + VADER,combined,VADER,0.75,net,0.08166139906325864,0.11327373328586046,0.7209208763092134,-0.07865660747410586,0.013991424482199248,0.001748928060274906
Combined Minimum Variance + VADER,combined,VADER,1.0,gross,0.0930542276439541,0.1173497491755696,0.792964861856957,-0.07273957857237678,0.01832004043760453,0.0022900050547005673
Combined Minimum Variance + VADER,combined,VADER,1.0,net,0.09053374234403222,0.11734276390704038,0.7715323836734712,-0.073055837685853,0.01832004043760453,0.0022900050547005673
Combined Minimum Variance + finVADER,combined,finVADER,0.0,gross,0.05383503481510599,0.10970516741831074,0.49072469494377213,-0.08611000595503482,0.0005227212515773681,6.534015644717102e-05
Combined Minimum Variance + finVADER,combined,finVADER,0.0,net,0.0537656282688892,0.10970500119997617,0.49009277317159244,-0.0861242067198279,0.0005227212515773681,6.534015644717102e-05
Combined Minimum Variance + finVADER,combined,finVADER,0.25,gross,0.05466211133025145,0.10918867590619473,0.5006206996887874,-0.08543725092201282,0.0035598130391261127,0.00044497662989076404
Combined Minimum Variance + finVADER,combined,finVADER,0.25,net,0.05418915286204551,0.10918874837155747,0.4962887996265485,-0.0856715319857363,0.0035598130391261127,0.00044497662989076404
Combined Minimum Variance + finVADER,combined,finVADER,0.5,gross,0.05052951809733286,0.10956723969294387,0.4611735974999374,-0.08758334820377434,0.006638739335091392,0.000829842416886424
Combined Minimum Variance + finVADER,combined,finVADER,0.5,net,0.049651102205434894,0.1095673551249369,0.4531559801623302,-0.0880205518472611,0.006638739335091392,0.000829842416886424
